,event_id,event_date,event_year,event_month,event_time,event_hour,event_am_pm,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,caused_fatalities,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude
10645,10640,2017-03-15 16:46:00,2017,March,16:46:00,16,PM,rock_fall,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-122.448275,48.623821
10646,11159,2017-07-09 13:23:00,2017,July,13:23:00,13,PM,landslide,continuous_rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,94.10065403,25.6320357
10647,10667,2017-04-05 13:19:00,2017,April,13:19:00,13,PM,rock_fall,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-86.95613007,36.20785464
10648,11128,2017-04-05 13:19:00,2017,April,13:19:00,13,PM,landslide,rain,small,urban,0.0,1.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,123.5297419,9.774184314
10649,10408,2017-02-17 23:10:00,2017,February,23:10:00,23,PM,mudslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-119.4488081,34.36345704
10650,11018,2016-10-31 14:24:00,2016,October,14:24:00,14,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,101.418577,12.589702
10651,10562,2017-03-15 16:46:00,2017,March,16:46:00,16,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-122.754514,45.92401
10652,11121,2017-05-01 19:03:00,2017,May,19:03:00,19,PM,landslide,rain,small,natural_slope,0.0,1.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,115.0920102,-8.279864546
10653,10947,2016-12-09 14:22:00,2016,December,14:22:00,14,PM,landslide,other,small,unknown,3.0,3.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,82.354055,19.641991
10654,10389,2017-01-19 21:08:00,2017,January,21:08:00,21,PM,landslide,snowfall_snowmelt,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-120.0516629,37.98298928
10655,10445,2016-12-16 14:35:00,2016,December,14:35:00,14,PM,mudslide,rain,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-116.950975,33.968473
10656,11070,2017-03-07 19:24:00,2017,March,19:24:00,19,PM,landslide,downpour,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,175.016756,-36.784719
10657,10645,2017-02-17 20:04:00,2017,February,20:04:00,20,PM,landslide,continuous_rain,medium,below_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-122.4604589,48.95184809
10658,11124,2017-07-10 14:05:00,2017,July,14:05:00,14,PM,landslide,continuous_rain,medium,above_river,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,124.7102698,11.01601242
10659,10800,2017-06-15 14:21:00,2017,June,14:21:00,14,PM,mudslide,downpour,medium,urban,1.0,5.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,-72.5129604,18.77238406
10660,10896,2017-04-18 14:28:00,2017,April,14:28:00,14,PM,mudslide,continuous_rain,medium,above_river,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,72.90690683,40.88384133
10661,10629,2017-03-18 21:29:00,2017,March,21:29:00,21,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-122.38417,47.227674
10662,10684,2017-03-30 12:57:00,2017,March,12:57:00,12,PM,mudslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-81.499376,36.229474
10663,10421,2017-01-22 20:21:00,2017,January,20:21:00,20,PM,rock_fall,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-118.4017601,34.124476
10664,10959,2017-03-16 20:44:00,2017,March,20:44:00,20,PM,landslide,construction,small,natural_slope,2.0,1.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,91.125374,23.438189
10665,11178,2017-06-18 13:16:00,2017,June,13:16:00,13,PM,landslide,monsoon,medium,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,92.78260587,26.96437841
10666,10516,2017-03-18 14:10:00,2017,March,14:10:00,14,PM,landslide,rain,small,below_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-116.479598,48.130894
10667,10318,2017-02-21 14:46:00,2017,February,14:46:00,14,PM,mudslide,snowfall_snowmelt,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-111.8567637,41.32696363
10668,11010,2016-10-26 14:24:00,2016,October,14:24:00,14,PM,debris_flow,downpour,medium,unknown,2.0,0.0,Yes,unknown,unknown,unknown,-1.0,unknown,-1.0,103.761134,22.771104
10669,11035,2017-01-24 19:05:00,2017,January,19:05:00,19,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,102.0799266,3.300391156
10670,11082,2017-03-06 22:33:00,2017,March,22:33:00,22,PM,mudslide,downpour,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,175.883064,-37.270678
10671,10563,2017-02-16 21:37:00,2017,February,21:37:00,21,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-122.760786,45.934422
10672,10365,2017-01-20 14:57:00,2017,January,14:57:00,14,PM,mudslide,snowfall_snowmelt,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-121.4617341,39.7602315
10673,11135,2016-11-05 14:00:00,2016,November,14:00:00,14,PM,landslide,rain,small,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,123.876998,10.329022
10674,10879,2017-05-11 13:28:00,2017,May,13:28:00,13,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,84.71592278,28.21798862
10675,10691,2017-04-11 13:34:00,2017,April,13:34:00,13,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,-72.34177825,46.53684224
10676,11001,2017-07-08 13:23:00,2017,July,13:23:00,13,PM,landslide,rain,large,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,105.6688433,26.6726411
10677,10826,2017-02-19 22:45:00,2017,February,22:45:00,22,PM,landslide,rain,small,above_road,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,75.19165535,33.336892
10678,11047,2017-02-22 22:45:00,2017,February,22:45:00,22,PM,landslide,continuous_rain,small,natural_slope,0.0,0.0,No,unknown,unknown,unknown,-1.0,unknown,-1.0,112.8374948,3.086036242
